Date : 2025-04-19 16:31:32
Directory : d:\gazzeh travail\espace-elite\src
Total : 208 files,  27855 codes, 787 comments, 2802 blanks, all 31444 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| TypeScript JSX |        152 |     22,220 |        448 |      2,077 |     24,745 |
| TypeScript     |         55 |      5,561 |        339 |        720 |      6,620 |
| CSS            |          1 |         74 |          0 |          5 |         79 |
+----------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                        | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                           |        208 |     27,855 |        787 |      2,802 |     31,444 |
| . (Files)                                                                                                   |          1 |         75 |         26 |         17 |        118 |
| components                                                                                                  |         80 |      7,558 |        124 |        911 |      8,593 |
| components (Files)                                                                                          |          1 |        110 |          0 |          5 |        115 |
| components\forms                                                                                            |         20 |      2,760 |        113 |        299 |      3,172 |
| components\forms (Files)                                                                                    |          4 |      1,239 |         57 |        120 |      1,416 |
| components\forms\components                                                                                 |         11 |        827 |         39 |        114 |        980 |
| components\forms\patientSections                                                                            |          5 |        694 |         17 |         65 |        776 |
| components\layout                                                                                           |          1 |         27 |          2 |          6 |         35 |
| components\tables                                                                                           |          3 |        205 |          0 |         17 |        222 |
| components\tasks                                                                                            |          2 |        285 |          0 |         25 |        310 |
| components\ui                                                                                               |         53 |      4,171 |          9 |        559 |      4,739 |
| lib                                                                                                         |          3 |         50 |          5 |         14 |         69 |
| pages                                                                                                       |        119 |     19,592 |        632 |      1,816 |     22,040 |
| pages (Files)                                                                                               |          3 |        201 |          6 |         16 |        223 |
| pages\api                                                                                                   |         44 |      4,733 |        305 |        615 |      5,653 |
| pages\api\accessories                                                                                       |          1 |         70 |          0 |         16 |         86 |
| pages\api\auth                                                                                              |          2 |        127 |         11 |         21 |        159 |
| pages\api\clients                                                                                           |          1 |         48 |          0 |          7 |         55 |
| pages\api\diagnostic-parameters                                                                             |          2 |        117 |         13 |         24 |        154 |
| pages\api\diagnostic-results                                                                                |          2 |         85 |         47 |         17 |        149 |
| pages\api\diagnostics                                                                                       |          1 |        258 |         17 |         36 |        311 |
