Date : 2025-07-10 01:39:18
Directory : d:\gazzeh travail\espace-elite\src
Total : 446 files,  59460 codes, 2838 comments, 6391 blanks, all 68689 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| pages\roles\admin\appareils                                                                                                    |         27 |      5,891 |        153 |        509 |      6,553 |
| pages\roles\admin\appareils (Files)                                                                                            |          1 |        569 |         13 |         34 |        616 |
| pages\roles\admin\appareils\accessory                                                                                          |          1 |        124 |          0 |         12 |        136 |
| pages\roles\admin\appareils\components                                                                                         |         22 |      4,768 |        140 |        414 |      5,322 |
| pages\roles\admin\appareils\components (Files)                                                                                 |         13 |      2,362 |         78 |        205 |      2,645 |
| pages\roles\admin\appareils\components\dialogs                                                                                 |          3 |        260 |          2 |         28 |        290 |
| pages\roles\admin\appareils\components\forms                                                                                   |          6 |      2,146 |         60 |        181 |      2,387 |
| pages\roles\admin\appareils\diagnostic-device                                                                                  |          1 |        144 |          0 |         15 |        159 |
| pages\roles\admin\appareils\medical-device                                                                                     |          1 |        162 |          0 |         22 |        184 |
| pages\roles\admin\appareils\spare-part                                                                                         |          1 |        124 |          0 |         12 |        136 |
| pages\roles\admin\dashboard                                                                                                    |         30 |      6,035 |        332 |        582 |      6,949 |
| pages\roles\admin\dashboard (Files)                                                                                            |          1 |         84 |          5 |         13 |        102 |
| pages\roles\admin\dashboard\components                                                                                         |         29 |      5,951 |        327 |        569 |      6,847 |
| pages\roles\admin\dashboard\components (Files)                                                                                 |         11 |      2,327 |        143 |        238 |      2,708 |
| pages\roles\admin\dashboard\components\dialogs                                                                                 |          2 |        378 |         24 |         36 |        438 |
| pages\roles\admin\dashboard\components\sales                                                                                   |          3 |        269 |          8 |         29 |        306 |
| pages\roles\admin\dashboard\components\steps                                                                                   |         10 |      2,051 |        131 |        197 |      2,379 |
| pages\roles\admin\dashboard\components\steps (Files)                                                                           |          3 |        517 |         39 |         48 |        604 |
| pages\roles\admin\dashboard\components\steps\diagnostic                                                                        |          3 |        488 |         33 |         54 |        575 |
| pages\roles\admin\dashboard\components\steps\product                                                                           |          3 |        884 |         53 |         84 |      1,021 |
| pages\roles\admin\dashboard\components\steps\rental                                                                            |          1 |        162 |          6 |         11 |        179 |
| pages\roles\admin\dashboard\components\tables                                                                                  |          3 |        926 |         21 |         69 |      1,016 |
| pages\roles\admin\diagnostics                                                                                                  |         10 |      1,674 |         70 |        170 |      1,914 |
| pages\roles\admin\diagnostics (Files)                                                                                          |          1 |         76 |          3 |         10 |         89 |
| pages\roles\admin\diagnostics\[id]                                                                                             |          9 |      1,598 |         67 |        160 |      1,825 |
| pages\roles\admin\diagnostics\[id] (Files)                                                                                     |          2 |        400 |         19 |         38 |        457 |
| pages\roles\admin\diagnostics\[id]\components                                                                                  |          7 |      1,198 |         48 |        122 |      1,368 |
| pages\roles\admin\espace-technicien                                                                                            |          7 |        858 |          4 |         77 |        939 |
| pages\roles\admin\espace-technicien (Files)                                                                                    |          1 |         23 |          0 |          5 |         28 |
| pages\roles\admin\espace-technicien\components                                                                                 |          6 |        835 |          4 |         72 |        911 |
| pages\roles\admin\help                                                                                                         |          1 |        333 |          9 |         23 |        365 |
| pages\roles\admin\info-step                                                                                                    |          4 |        412 |          4 |         32 |        448 |
| pages\roles\admin\info-step (Files)                                                                                            |          1 |         59 |          0 |          7 |         66 |
| pages\roles\admin\info-step\components                                                                                         |          3 |        353 |          4 |         25 |        382 |
| pages\roles\admin\notifications                                                                                                |          1 |        418 |         13 |         45 |        476 |
| pages\roles\admin\produits                                                                                                     |          1 |        103 |          0 |         11 |        114 |
| pages\roles\admin\renseignement                                                                                                |          5 |      1,556 |         83 |        149 |      1,788 |
| pages\roles\admin\renseignement (Files)                                                                                        |          1 |        610 |         30 |         64 |        704 |
| pages\roles\admin\renseignement\components                                                                                     |          2 |        453 |         25 |         43 |        521 |
| pages\roles\admin\renseignement\patient                                                                                        |          1 |        222 |         15 |         22 |        259 |
| pages\roles\admin\renseignement\patient\[id]                                                                                   |          1 |        222 |         15 |         22 |        259 |
| pages\roles\admin\renseignement\societe                                                                                        |          1 |        271 |         13 |         20 |        304 |
| pages\roles\admin\renseignement\societe\[id]                                                                                   |          1 |        271 |         13 |         20 |        304 |
| pages\roles\admin\rentals                                                                                                      |          5 |        588 |         20 |         70 |        678 |
| pages\roles\admin\rentals (Files)                                                                                              |          1 |        148 |          6 |         21 |        175 |
| pages\roles\admin\rentals\components                                                                                           |          4 |        440 |         14 |         49 |        503 |
| pages\roles\admin\reparateur                                                                                                   |          1 |        321 |          0 |         23 |        344 |
| pages\roles\admin\sales                                                                                                        |          1 |        328 |         10 |         22 |        360 |
| pages\roles\admin\settings                                                                                                     |          1 |         60 |          0 |          4 |         64 |
| pages\roles\admin\stock                                                                                                        |          8 |      2,041 |         79 |        174 |      2,294 |
| pages\roles\admin\stock (Files)                                                                                                |          1 |         34 |          0 |          8 |         42 |
| pages\roles\admin\stock\components                                                                                             |          7 |      2,007 |         79 |        166 |      2,252 |
| pages\roles\admin\tasks                                                                                                        |          1 |        417 |         10 |         48 |        475 |
| pages\roles\admin\users                                                                                                        |          4 |        716 |         15 |         64 |        795 |
| pages\roles\admin\users (Files)                                                                                                |          2 |        408 |          0 |         43 |        451 |
| pages\roles\admin\users\components                                                                                             |          2 |        308 |         15 |         21 |        344 |
| pages\roles\employee                                                                                                           |         57 |      9,836 |        472 |        976 |     11,284 |
| pages\roles\employee (Files)                                                                                                   |          5 |        812 |         48 |         97 |        957 |
| pages\roles\employee\dashboard                                                                                                 |         33 |      6,090 |        325 |        583 |      6,998 |
| pages\roles\employee\dashboard (Files)                                                                                         |          1 |         88 |          5 |         14 |        107 |
| pages\roles\employee\dashboard\components                                                                                      |         32 |      6,002 |        320 |        569 |      6,891 |
| pages\roles\employee\dashboard\components (Files)                                                                              |         11 |      2,299 |        143 |        235 |      2,677 |
| pages\roles\employee\dashboard\components\dialogs                                                                              |          2 |        378 |         27 |         34 |        439 |
| pages\roles\employee\dashboard\components\sales                                                                                |          3 |        269 |          8 |         29 |        306 |
| pages\roles\employee\dashboard\components\steps                                                                                |         10 |      1,917 |        118 |        184 |      2,219 |
| pages\roles\employee\dashboard\components\steps (Files)                                                                        |          3 |        517 |         39 |         48 |        604 |
| pages\roles\employee\dashboard\components\steps\diagnostic                                                                     |          3 |        488 |         33 |         54 |        575 |
| pages\roles\employee\dashboard\components\steps\product                                                                        |          3 |        750 |         40 |         71 |        861 |
| pages\roles\employee\dashboard\components\steps\rental                                                                         |          1 |        162 |          6 |         11 |        179 |
| pages\roles\employee\dashboard\components\tables                                                                               |          6 |      1,139 |         24 |         87 |      1,250 |
| pages\roles\employee\diagnostics                                                                                               |         10 |      1,682 |         70 |        171 |      1,923 |
| pages\roles\employee\diagnostics (Files)                                                                                       |          1 |         80 |          3 |         10 |         93 |
| pages\roles\employee\diagnostics\[id]                                                                                          |          9 |      1,602 |         67 |        161 |      1,830 |
| pages\roles\employee\diagnostics\[id] (Files)                                                                                  |          2 |        404 |         19 |         39 |        462 |
| pages\roles\employee\diagnostics\[id]\components                                                                               |          7 |      1,198 |         48 |        122 |      1,368 |
| pages\roles\employee\history                                                                                                   |          1 |         13 |          0 |          4 |         17 |
| pages\roles\employee\notifications                                                                                             |          1 |         13 |          0 |          4 |         17 |
| pages\roles\employee\renseignement                                                                                             |          3 |        853 |         25 |         73 |        951 |
| pages\roles\employee\renseignement (Files)                                                                                     |          1 |        582 |         25 |         62 |        669 |
| pages\roles\employee\renseignement\components                                                                                  |          2 |        271 |          0 |         11 |        282 |
| pages\roles\employee\rentals                                                                                                   |          1 |         13 |          0 |          4 |         17 |
| pages\roles\employee\sales                                                                                                     |          1 |         13 |          0 |          4 |         17 |
| pages\roles\employee\stock                                                                                                     |          1 |         13 |          0 |          4 |         17 |
| pages\roles\employee\tasks                                                                                                     |          1 |        334 |          4 |         32 |        370 |
| server                                                                                                                         |          1 |         83 |         10 |         12 |        105 |
| styles                                                                                                                         |          1 |        106 |          1 |          6 |        113 |
| types                                                                                                                          |         34 |        850 |         37 |        108 |        995 |
| types (Files)                                                                                                                  |          3 |        113 |          2 |         10 |        125 |
| types\enums                                                                                                                    |          1 |         92 |          0 |         16 |        108 |
| types\forms                                                                                                                    |          2 |         72 |         19 |          7 |         98 |
| types\models                                                                                                                   |         28 |        573 |         16 |         75 |        664 |
| utils                                                                                                                          |          2 |         25 |          0 |          5 |         30 |
+--------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                                                                       | language       | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| d:\gazzeh travail\espace-elite\src\components\FileViewerModal.tsx                                                              | TypeScript JSX |        111 |          0 |          5 |        116 |
| d:\gazzeh travail\espace-elite\src\components\MedicaleDevicesParametreForms\ParametreBouteilleForm.tsx                         | TypeScript JSX |         24 |          0 |          4 |         28 |
| d:\gazzeh travail\espace-elite\src\components\MedicaleDevicesParametreForms\ParametreCPAPForm.tsx                              | TypeScript JSX |         79 |          0 |          4 |         83 |
| d:\gazzeh travail\espace-elite\src\components\MedicaleDevicesParametreForms\ParametreConcentrateurForm.tsx                     | TypeScript JSX |         24 |          0 |          4 |         28 |
| d:\gazzeh travail\espace-elite\src\components\MedicaleDevicesParametreForms\ParametreVIForm.tsx                                | TypeScript JSX |         67 |          0 |          4 |         71 |
| d:\gazzeh travail\espace-elite\src\components\MedicaleDevicesParametreForms\ParametreVNIForm.tsx                               | TypeScript JSX |         67 |          0 |          4 |         71 |
| d:\gazzeh travail\espace-elite\src\components\MedicaleDevicesParametreForms\index.tsx                                          | TypeScript JSX |         12 |          0 |          2 |         14 |
| d:\gazzeh travail\espace-elite\src\components\forms\PatientForm.tsx                                                            | TypeScript JSX |        423 |         57 |         60 |        540 |
| d:\gazzeh travail\espace-elite\src\components\forms\ProductForm.tsx                                                            | TypeScript JSX |        288 |          3 |         20 |        311 |
| d:\gazzeh travail\espace-elite\src\components\forms\SocieteForm.tsx                                                            | TypeScript JSX |        338 |         14 |         25 |        377 |
| d:\gazzeh travail\espace-elite\src\components\forms\UserForm.tsx                                                               | TypeScript JSX |        191 |          1 |         15 |        207 |
| d:\gazzeh travail\espace-elite\src\components\forms\components\DynamicRadioGroup.tsx                                           | TypeScript JSX |         53 |          0 |          6 |         59 |
| d:\gazzeh travail\espace-elite\src\components\forms\components\FileList.tsx                                                    | TypeScript JSX |          0 |          0 |          1 |          1 |
| d:\gazzeh travail\espace-elite\src\components\forms\components\FileManager.tsx                                                 | TypeScript JSX |        324 |         47 |         55 |        426 |
| d:\gazzeh travail\espace-elite\src\components\forms\components\FormSection.tsx                                                 | TypeScript JSX |         33 |          0 |          5 |         38 |
| d:\gazzeh travail\espace-elite\src\components\forms\components\LocationPicker.tsx                                              | TypeScript JSX |        277 |          6 |         33 |        316 |
| d:\gazzeh travail\espace-elite\src\components\forms\components\MapEvents.tsx                                                   | TypeScript JSX |         13 |          0 |          4 |         17 |
| d:\gazzeh travail\espace-elite\src\components\forms\components\SearchSelect.tsx                                                | TypeScript JSX |         67 |          2 |          7 |         76 |
| d:\gazzeh travail\espace-elite\src\components\forms\components\SimpleMap.tsx                                                   | TypeScript JSX |         95 |         18 |         23 |        136 |
| d:\gazzeh travail\espace-elite\src\components\forms\components\SmartInput.tsx                                                  | TypeScript JSX |        111 |          4 |          8 |        123 |
| d:\gazzeh travail\espace-elite\src\components\forms\components\UnitInput.tsx                                                   | TypeScript JSX |         67 |          5 |          7 |         79 |
| d:\gazzeh travail\espace-elite\src\components\forms\patientSections\AdditionalInfoBlock.tsx                                    | TypeScript JSX |         43 |          2 |          4 |         49 |
| d:\gazzeh travail\espace-elite\src\components\forms\patientSections\BiometricsBlock.tsx                                        | TypeScript JSX |         58 |          4 |          7 |         69 |
| d:\gazzeh travail\espace-elite\src\components\forms\patientSections\InsuranceDetailsBlock.tsx                                  | TypeScript JSX |        145 |          2 |          9 |        156 |
| d:\gazzeh travail\espace-elite\src\components\forms\patientSections\PersonalInfoBlock.tsx                                      | TypeScript JSX |        275 |         20 |         32 |        327 |
| d:\gazzeh travail\espace-elite\src\components\forms\patientSections\ResponsiblePersonBlock.tsx                                 | TypeScript JSX |        160 |          3 |         14 |        177 |
| d:\gazzeh travail\espace-elite\src\components\layout\SEO.tsx                                                                   | TypeScript JSX |         27 |          2 |          6 |         35 |
| d:\gazzeh travail\espace-elite\src\components\medicalDevice\DeviceHeader.tsx                                                   | TypeScript JSX |         80 |          0 |          4 |         84 |
| d:\gazzeh travail\espace-elite\src\components\medicalDevice\DeviceMaintenanceHistory.tsx                                       | TypeScript JSX |         67 |          0 |          4 |         71 |
| d:\gazzeh travail\espace-elite\src\components\medicalDevice\DeviceParameters.tsx                                               | TypeScript JSX |        106 |          1 |          6 |        113 |
| d:\gazzeh travail\espace-elite\src\components\medicalDevice\DeviceRelations.tsx                                                | TypeScript JSX |         92 |          3 |          5 |        100 |
| d:\gazzeh travail\espace-elite\src\components\medicalDevice\DeviceStepperHistory.tsx                                           | TypeScript JSX |        126 |          0 |          7 |        133 |
| d:\gazzeh travail\espace-elite\src\components\medicalDevice\DiagnosticDeviceDetails.tsx                                        | TypeScript JSX |         67 |          0 |          4 |         71 |
| d:\gazzeh travail\espace-elite\src\components\patient\PatientAppointments.tsx                                                  | TypeScript JSX |        167 |          3 |         11 |        181 |
| d:\gazzeh travail\espace-elite\src\components\patient\PatientBasicInfo.tsx                                                     | TypeScript JSX |         52 |          0 |         10 |         62 |
| d:\gazzeh travail\espace-elite\src\components\patient\PatientContactInfo.tsx                                                   | TypeScript JSX |         45 |          0 |          7 |         52 |
| d:\gazzeh travail\espace-elite\src\components\patient\PatientDevices.tsx                                                       | TypeScript JSX |         99 |          0 |          5 |        104 |
| d:\gazzeh travail\espace-elite\src\components\patient\PatientDiagnostics.tsx                                                   | TypeScript JSX |        108 |          0 |          6 |        114 |
| d:\gazzeh travail\espace-elite\src\components\patient\PatientFiles.tsx                                                         | TypeScript JSX |         51 |          0 |          4 |         55 |
| d:\gazzeh travail\espace-elite\src\components\patient\PatientHistory.tsx                                                       | TypeScript JSX |        102 |          0 |          5 |        107 |
| d:\gazzeh travail\espace-elite\src\components\patient\PatientMedicalInfo.tsx                                                   | TypeScript JSX |         30 |          0 |          7 |         37 |
| d:\gazzeh travail\espace-elite\src\components\patient\PatientPayments.tsx                                                      | TypeScript JSX |        119 |          0 |          5 |        124 |
| d:\gazzeh travail\espace-elite\src\components\patient\PatientRentals.tsx                                                       | TypeScript JSX |        108 |          1 |          5 |        114 |
| d:\gazzeh travail\espace-elite\src\components\patient\PatientStaffInfo.tsx                                                     | TypeScript JSX |         30 |          0 |          7 |         37 |
| d:\gazzeh travail\espace-elite\src\components\patient\index.ts                                                                 | TypeScript     |         24 |          0 |          2 |         26 |
| d:\gazzeh travail\espace-elite\src\components\payment\PaymentDetailsForm.tsx                                                   | TypeScript JSX |        213 |          7 |         10 |        230 |
| d:\gazzeh travail\espace-elite\src\components\payment\PaymentStepProgress.tsx                                                  | TypeScript JSX |         87 |          2 |          9 |         98 |
| d:\gazzeh travail\espace-elite\src\components\payment\PaymentTypeCard.tsx                                                      | TypeScript JSX |         39 |          0 |          4 |         43 |
| d:\gazzeh travail\espace-elite\src\components\payment\components\CNAMDossierList.tsx                                           | TypeScript JSX |        115 |          2 |         12 |        129 |
| d:\gazzeh travail\espace-elite\src\components\payment\components\CNAMDossierManager.tsx                                        | TypeScript JSX |        215 |          8 |         24 |        247 |
| d:\gazzeh travail\espace-elite\src\components\payment\components\CNAMStepTracker.tsx                                           | TypeScript JSX |         61 |          9 |          5 |         75 |
| d:\gazzeh travail\espace-elite\src\components\payment\components\PaymentDialog.tsx                                             | TypeScript JSX |        256 |         34 |         29 |        319 |
| d:\gazzeh travail\espace-elite\src\components\payment\components\PaymentSummary.tsx                                            | TypeScript JSX |        110 |          7 |         14 |        131 |
| d:\gazzeh travail\espace-elite\src\components\payment\components\PaymentTypeCard.tsx                                           | TypeScript JSX |         44 |          6 |          4 |         54 |
| d:\gazzeh travail\espace-elite\src\components\payment\config\paymentTypes.tsx                                                  | TypeScript JSX |         60 |          6 |          4 |         70 |
| d:\gazzeh travail\espace-elite\src\components\payment\context\PaymentContext.tsx                                               | TypeScript JSX |        124 |         28 |         21 |        173 |
| d:\gazzeh travail\espace-elite\src\components\payment\index.tsx                                                                | TypeScript JSX |         15 |         15 |          6 |         36 |
| d:\gazzeh travail\espace-elite\src\components\payment\paymentForms\CNAMForm.tsx                                                | TypeScript JSX |        595 |         44 |         56 |        695 |
| d:\gazzeh travail\espace-elite\src\components\payment\paymentForms\ChequeForm.tsx                                              | TypeScript JSX |        189 |          6 |         19 |        214 |
| d:\gazzeh travail\espace-elite\src\components\payment\paymentForms\EspecesForm.tsx                                             | TypeScript JSX |        161 |         11 |         18 |        190 |
| d:\gazzeh travail\espace-elite\src\components\payment\paymentForms\MondatForm.tsx                                              | TypeScript JSX |        142 |          2 |         17 |        161 |
| d:\gazzeh travail\espace-elite\src\components\payment\paymentForms\PaymentFormsMain.tsx                                        | TypeScript JSX |          4 |          9 |          4 |         17 |
| d:\gazzeh travail\espace-elite\src\components\payment\paymentForms\TraiteForm.tsx                                              | TypeScript JSX |        266 |          2 |         29 |        297 |
| d:\gazzeh travail\espace-elite\src\components\payment\paymentForms\VirementForm.tsx                                            | TypeScript JSX |        146 |          6 |         16 |        168 |
| d:\gazzeh travail\espace-elite\src\components\payment\paymentForms\index.tsx                                                   | TypeScript JSX |         51 |          4 |          6 |         61 |
| d:\gazzeh travail\espace-elite\src\components\product\MovementHistory.tsx                                                      | TypeScript JSX |        105 |          1 |          4 |        110 |
| d:\gazzeh travail\espace-elite\src\components\product\ProductActions.tsx                                                       | TypeScript JSX |         63 |          0 |          8 |         71 |
| d:\gazzeh travail\espace-elite\src\components\product\ProductHeader.tsx                                                        | TypeScript JSX |         91 |          0 |         11 |        102 |
| d:\gazzeh travail\espace-elite\src\components\product\StockInfo.tsx                                                            | TypeScript JSX |         86 |          3 |          8 |         97 |
| d:\gazzeh travail\espace-elite\src\components\sales\SaleInvoice.tsx                                                            | TypeScript JSX |        290 |         18 |         31 |        339 |
| d:\gazzeh travail\espace-elite\src\components\search\GlobalSearch.tsx                                                          | TypeScript JSX |        289 |         20 |         29 |        338 |
| d:\gazzeh travail\espace-elite\src\components\settings\BackupRestoreNew.tsx                                                    | TypeScript JSX |        288 |         43 |         59 |        390 |
